+--------------------------------+----------------------+-----------------+----------------+------------------+---------+-----------+
| c_last_name                    | c_first_name         | ca_city         | bought_city    | ss_ticket_number | amt     | profit    |
+--------------------------------+----------------------+-----------------+----------------+------------------+---------+-----------+
| Aaron                          | Charles              | Jamestown       | Springdale     | 1983178          | 647.86  | -2497.93  |
| Aaron                          | George               | Five Points     | Clinton        | 1148602          | 41.66   | -6291.02  |
| Aaron                          | Larry                | Midway          | Mount Olive    | 2161599          | 1801.34 | -14776.69 |
| Aaron                          | Ruby                 | Florence        | Friendship     | 584721           | 522.90  | -6950.40  |
| Aaron                          | Valerie              | Highland Park   | Centerville    | 1500555          | 996.62  | -4236.98  |
| Aaron                          | Velma                | Providence      | Newtown        | 775061           | 292.47  | -6789.41  |
| Aaron                          | NULL                 | Hardy           | Clifton        | 2283871          | 9466.07 | -13102.09 |
| Abbott                         | Arnoldo              | Mount Olive     | Franklin       | 1800676          | 2743.00 | -18432.13 |
| Abbott                         | Ashley               | Clifton         | Woodlawn       | 2336470          | 0.00    | -8714.43  |
| Abbott                         | Carl                 | White Oak       | Wilson         | 1537723          | 118.86  | -2603.76  |
| Abbott                         | Christian            | White Oak       | Concord        | 1572005          | 180.05  | -13700.38 |
| Abbott                         | Christopher          | Five Forks      | Winslow        | 1849736          | 847.48  | 1924.68   |
| Abbott                         | Christopher          | Milo            | Centerville    | 320145           | 454.04  | 1457.33   |
| Abbott                         | David                | Shady Grove     | Arlington      | 1533661          | 130.56  | 1152.53   |
| Abbott                         | Hans                 | Glendale        | Belmont        | 362444           | 4301.92 | -8303.58  |
| Abbott                         | Harriet              | Wesley          | Five Forks     | 893510           | 6715.42 | -8339.31  |
| Abbott                         | Jason                | Oak Grove       | Woodville      | 450172           | 2567.78 | -5288.14  |
| Abbott                         | Jeffrey              | Clifton         | Hopewell       | 2247398          | 2061.15 | -11421.89 |
| Abbott                         | Jessica              | Unionville      | Glenwood       | 789999           | 6428.78 | -24217.07 |
| Abbott                         | Lorraine             | Texas           | Green Acres    | 1898443          | 115.09  | -2383.73  |
| Abbott                         | Louis                | Woodland        | Crossroads     | 681663           | 12.39   | -2785.57  |
| Abbott                         | Mark                 | Walnut Grove    | Salem          | 941903           | 1502.35 | -9177.86  |
| Abbott                         | Michael              | Summit          | Sunnyside      | 851431           | 3401.55 | -18775.67 |
| Abbott                         | Michele              | Riverdale       | Springfield    | 2045778          | 0.00    | -11781.90 |
| Abbott                         | Penny                | Jackson         | Fairfield      | 1060690          | 1.96    | -10300.34 |
| Abbott                         | Phillip              | Sulphur Springs | Bunker Hill    | 628788           | 0.00    | 699.77    |
| Abbott                         | Shawn                | Millbrook       | Centerville    | 887672           | 1941.29 | -13923.08 |
| Abbott                         | Sheryl               | Lebanon         | Spring Hill    | 2298851          | 0.00    | -4637.97  |
| Abbott                         | Sueann               | New Hope        | Little River   | 2276701          | 218.41  | -9838.56  |
| Abbott                         | Sylvia               | Ashland         | Lakewood       | 119324           | 1244.69 | -12732.32 |
| Abbott                         | William              | Deerfield       | Wilson         | 741764           | 6076.09 | 1499.04   |
| Abel                           | David                | Riverside       | Five Forks     | 1698224          | 1525.17 | -6728.54  |
| Abel                           | Doris                | Greenfield      | Riverview      | 623332           | 3549.63 | -15719.60 |
| Abel                           | Ida                  | Marion          | Highland       | 1441745          | 2393.93 | -2381.01  |
| Abel                           | Jacob                | Flint           | Wildwood       | 1138075          | 3454.22 | -24726.03 |
| Abel                           | Kathleen             | Forest Hills    | Lakeview       | 316124           | 4191.02 | -12910.11 |
| Abel                           | Richard              | Lakewood        | Tracy          | 2242735          | 8180.68 | -4318.13  |
| Abernathy                      | Carolyn              | Tracy           | Jackson        | 2117206          | 162.52  | -3008.26  |
| Abernathy                      | Deborah              | Oakland         | Hopewell       | 954314           | 1642.13 | -6843.87  |
| Abernathy                      | Eduardo              | Lakeview        | Pine Grove     | 1648627          | 2208.29 | -11743.41 |
| Abernathy                      | Josephine            | Hamilton        | Greenfield     | 285025           | 3394.54 | -17545.68 |
| Abernathy                      | Joyce                | Union           | Union Hill     | 1318465          | 3492.74 | -12805.32 |
| Abernathy                      | Mabel                | Maple Grove     | Concord        | 55057            | 1796.07 | -7858.87  |
| Abernathy                      | Robert               | Cedar Grove     | Bethel         | 544171           | 8755.85 | -17758.29 |
| Abernathy                      | Tamara               | Bridgeport      | Riverside      | 223480           | 8792.21 | -11984.84 |
| Abernathy                      | Veronica             | Highland Park   | Mountain View  | 1536431          | 2479.25 | -16240.93 |
| Abernathy                      | Veronica             | Highland Park   | Woodlawn       | 2205446          | 4113.19 | -7589.50  |
| Abernathy                      | Wallace              | Union           | Bunker Hill    | 1404018          | 254.42  | -3028.22  |
| Abernathy                      | NULL                 | Mount Olive     | Wildwood       | 737143           | 890.02  | -7993.00  |
| Abner                          | Debra                | Georgetown      | Howell         | 721133           | 0.00    | -25777.70 |
| Abner                          | Della                | Riverdale       | Georgetown     | 1205903          | 1258.15 | -12183.97 |
| Abner                          | Francis              | Red Hill        | Five Points    | 284869           | 5055.10 | -15127.94 |
