+--------------------------------+----------------------+-----------------+-----------------+------------------+----------------+--------------+------------+
| c_last_name                    | c_first_name         | ca_city         | bought_city     | ss_ticket_number | extended_price | extended_tax | list_price |
+--------------------------------+----------------------+-----------------+-----------------+------------------+----------------+--------------+------------+
| Aaron                          | Ruth                 | Plainview       | Macedonia       | 600597           | 37123.23       | 1092.00      | 61701.30   |
| Aaron                          | Margaret             | Union Hill      | Yorktown        | 1712098          | 14608.32       | 516.05       | 43201.95   |
| Abbott                         | Arnoldo              | Highland        | Elwood          | 28991            | 15086.64       | 748.06       | 27332.46   |
| Abbott                         | Graciela             | Hamilton        | Newport         | 944875           | 33287.86       | 1170.05      | 75891.09   |
| Abbott                         | Bernice              | Murphy          | Pleasant Valley | 1142189          | 18698.50       | 869.48       | 26995.22   |
| Abbott                         | Calvin               | Midway          | Mount Zion      | 1824473          | 8202.74        | 313.27       | 20149.14   |
| Abbott                         | Rafael               | Arlington       | Greenfield      | 2017499          | 15337.42       | 540.21       | 37878.53   |
| Abbott                         | Michael              | Arlington       | Oak Ridge       | 2759608          | 29982.02       | 1245.90      | 86324.10   |
| Abbott                         | Harriet              | Wesley          | Fairview        | 3786682          | 14901.21       | 824.59       | 31246.89   |
| Abbott                         | Michael              | Arlington       | Kingston        | 3786833          | 17700.10       | 613.88       | 38708.64   |
| Abbott                         | Lina                 | Woodlawn        | Five Points     | 4505024          | 22298.94       | 882.82       | 46529.77   |
| Abbott                         | Angela               | Hamilton        | Macedonia       | 4529891          | 32113.05       | 1548.54      | 55085.02   |
| Abbott                         | Rosie                | Mountain View   | Bunker Hill     | 5946296          | 24492.57       | 416.83       | 45411.23   |
| Abel                           | Aura                 | Blair           | Greenfield      | 787240           | 23932.06       | 1155.26      | 58354.04   |
| Abel                           | Jackie               | Walnut Grove    | Riverside       | 1904867          | 13678.15       | 522.91       | 45352.18   |
| Abel                           | Marion               | Lakeside        | Lake Forest     | 3132691          | 23672.19       | 850.49       | 39999.14   |
| Abel                           | David                | Oak Grove       | Springfield     | 3161667          | 14169.72       | 934.53       | 27932.32   |
| Abel                           | Diana                | Unionville      | Pleasant Hill   | 4130639          | 13439.25       | 623.08       | 26053.30   |
| Abel                           | Aura                 | Blair           | Lakeside        | 4197421          | 9877.22        | 573.36       | 19105.68   |
| Abell                          | Ernestine            | Buena Vista     | Lakewood        | 589021           | 19862.42       | 900.65       | 54305.88   |
| Abell                          | Jason                | Pleasant Grove  | Cedar Grove     | 1385130          | 34376.37       | 1030.68      | 56704.84   |
| Abner                          | Andrew               | Shady Grove     | Mount Vernon    | 5643066          | 19732.23       | 708.85       | 47119.02   |
| Abney                          | Clara                | Woodville       | Freeport        | 5998031          | 18119.24       | 497.98       | 33751.01   |
| Abraham                        | Bobbi                | Brownsville     | Five Forks      | 3633123          | 11807.62       | 526.70       | 24707.21   |
| Abraham                        | Ruby                 | Riverside       | Spring Hill     | 4259475          | 13098.02       | 620.14       | 26484.67   |
| Abrams                         | Bryan                | Fisher          | Plainview       | 4799999          | 21139.00       | 966.53       | 57823.58   |
| Abreu                          | Jeffrey              | Glendale        | Forest Hills    | 122840           | 44226.80       | 1719.42      | 78027.77   |
| Abreu                          | Richard              | Bridgeport      | Springdale      | 1226660          | 27717.73       | 934.02       | 69241.72   |
| Abreu                          | Joseph               | Greenville      | Pleasant Hill   | 1344621          | 29758.92       | 1167.02      | 77911.23   |
| Acevedo                        | Kevin                | Five Points     | Forest Hills    | 960738           | 13245.56       | 806.61       | 31243.42   |
| Acevedo                        | Jessica              | Arlington       | Flint           | 1634944          | 24743.24       | 335.56       | 46963.37   |
| Acevedo                        | Gloria               | Arlington       | Highland        | 2479569          | 34229.45       | 1513.70      | 74145.32   |
