+--------------------------------+----------------------+-----------------------+------------------+----------+-----------+
| c_last_name                    | c_first_name         | substr(s_city, 1, 30) | ss_ticket_number | amt      | profit    |
+--------------------------------+----------------------+-----------------------+------------------+----------+-----------+
| Aaron                          | Aaron                | Oak Grove             | 4157786          | 1207.07  | -11365.66 |
| Aaron                          | Aaron                | Oak Grove             | 8112658          | 5083.57  | -10456.42 |
| Aaron                          | Aaron                | Riverside             | 1570949          | 0.00     | -10294.64 |
| Aaron                          | Aaron                | Riverside             | 2717297          | 4194.13  | -6359.62  |
| Aaron                          | Barbara              | Midway                | 8285048          | 101.52   | -21618.42 |
| Aaron                          | Barbara              | Oak Grove             | 10039378         | 12038.30 | -20590.80 |
| Aaron                          | Barbara              | Oak Grove             | 4885450          | 281.02   | -9324.06  |
| Aaron                          | Bradley              | Midway                | 4181431          | 4238.50  | -11305.90 |
| Aaron                          | Brian                | Midway                | 9447108          | 4075.31  | -15118.17 |
| Aaron                          | Brian                | Midway                | 8893624          | 4120.41  | -6680.40  |
| Aaron                          | Brian                | Pleasant Hill         | 3500508          | 3755.14  | -11758.78 |
| Aaron                          | Carrie               | Riverside             | 10746127         | 34.13    | -12021.02 |
| Aaron                          | Charles              | Five Points           | 7157566          | 10581.46 | -26327.49 |
| Aaron                          | Charles              | Five Points           | 8038361          | 1920.79  | -8548.57  |
| Aaron                          | Charles              | Five Points           | 5691639          | 2238.16  | -3235.61  |
| Aaron                          | Charles              | Pleasant Hill         | 1284521          | 1121.82  | -3569.77  |
| Aaron                          | Charles              | Riverside             | 4051946          | 3736.12  | -157.03   |
| Aaron                          | Charlie              | Five Points           | 2503918          | 3129.07  | -20237.84 |
| Aaron                          | Charlie              | Midway                | 3678394          | 142.59   | 5866.58   |
| Aaron                          | Charlie              | Oak Grove             | 10150626         | 0.00     | -11439.50 |
| Aaron                          | Charlie              | Oak Grove             | 9219891          | 554.75   | -10968.66 |
| Aaron                          | Charlie              | Oak Grove             | 5331752          | 0.00     | -3324.33  |
| Aaron                          | Chase                | Pleasant Hill         | 1248467          | 194.55   | -6226.55  |
| Aaron                          | Chase                | Riverside             | 744097           | 5211.15  | -4776.61  |
| Aaron                          | Dale                 | Pleasant Hill         | 8073571          | 113.74   | -6458.98  |
| Aaron                          | Delia                | Oak Grove             | 11930315         | 355.74   | -999.93   |
| Aaron                          | Delia                | Riverside             | 1019080          | 2.73     | -6013.76  |
| Aaron                          | Doris                | Mount Pleasant        | 3614883          | 96.60    | -13900.16 |
| Aaron                          | Doris                | Mount Pleasant        | 547886           | 3541.91  | -10968.08 |
| Aaron                          | Doris                | Riverside             | 2144620          | 934.36   | -6185.04  |
| Aaron                          | Elizabeth            | Fairview              | 368133           | 501.49   | -8477.37  |
| Aaron                          | Elizabeth            | Riverside             | 4718819          | 159.91   | -5664.45  |
| Aaron                          | Elmer                | Midway                | 10143514         | 0.00     | -7144.52  |
| Aaron                          | Emily                | Five Points           | 11422807         | 0.00     | -5327.03  |
| Aaron                          | Frank                | Midway                | 9367866          | 2398.97  | -1329.46  |
| Aaron                          | Frank                | Mount Pleasant        | 1480439          | 0.00     | 2095.34   |
| Aaron                          | Gabrielle            | Five Points           | 5131123          | 3211.48  | -10852.60 |
| Aaron                          | Genevieve            | Oak Grove             | 11538288         | 2263.25  | -11553.38 |
